,"Electricity price (SE1, SEK/MWh)","Electricity price (SE2, SEK/MWh)","Electricity price (SE3, SEK/MWh)","Electricity price (SE4, SEK/MWh)"
2019-01-10 06:00:00,515.6,515.6,724.5,724.5
2019-01-10 07:00:00,517.0,517.0,810.1,810.1
2019-01-10 08:00:00,515.8,515.8,809.5,809.5
2019-01-10 09:00:00,513.6999999999999,513.6999999999999,803.1,803.1
2019-01-10 10:00:00,513.5,513.5,791.8000000000001,796.7
2019-01-10 11:00:00,512.3,512.3,712.2,762.3000000000001
2019-01-10 12:00:00,512.6,512.6,650.4000000000001,748.4000000000001
2019-01-10 13:00:00,511.4,511.4,612.8,759.0999999999999
2019-01-10 14:00:00,510.79999999999995,510.79999999999995,603.3,752.4
2019-01-10 15:00:00,509.90000000000003,509.90000000000003,609.0999999999999,766.2
2019-01-10 16:00:00,510.5,510.5,605.4,832.8
2019-01-10 17:00:00,510.4,510.4,576.4,795.6999999999999
2019-01-10 18:00:00,510.0,510.0,555.0,760.5
2019-01-10 19:00:00,510.20000000000005,510.20000000000005,539.6,539.6
2019-01-10 20:00:00,512.6,512.6,531.8,531.8
2019-01-10 21:00:00,511.1,511.1,511.1,511.1
2019-01-10 22:00:00,491.9,491.9,491.9,491.9
2019-01-10 23:00:00,489.6,489.6,489.6,489.6
2019-01-11 00:00:00,476.70000000000005,476.70000000000005,476.70000000000005,476.70000000000005
2019-01-11 01:00:00,468.1,468.1,468.1,468.1
2019-01-11 02:00:00,448.40000000000003,448.40000000000003,448.40000000000003,448.40000000000003
2019-01-11 03:00:00,473.2,473.2,473.2,473.2
2019-01-11 04:00:00,488.1,488.1,488.1,488.1
2019-01-11 05:00:00,511.70000000000005,511.70000000000005,512.4,512.4
2019-01-11 06:00:00,509.09999999999997,509.09999999999997,542.8,542.8
2019-01-11 07:00:00,511.3,511.3,555.2,555.2
2019-01-11 08:00:00,511.3,511.3,549.5,549.5
2019-01-11 09:00:00,509.3,509.3,548.9,548.9
2019-01-11 10:00:00,508.0,508.0,545.7,545.7
2019-01-11 11:00:00,508.0,508.0,531.1,531.1
2019-01-11 12:00:00,506.9,506.9,519.9,519.9
2019-01-11 13:00:00,504.20000000000005,504.20000000000005,504.20000000000005,504.20000000000005
2019-01-11 14:00:00,502.2,502.2,502.2,502.2
2019-01-11 15:00:00,507.0,507.0,507.0,507.0
2019-01-11 16:00:00,506.1,506.1,527.2,527.2
2019-01-11 17:00:00,506.5,506.5,516.1999999999999,516.1999999999999
2019-01-11 18:00:00,507.0,507.0,508.0,508.0
2019-01-11 19:00:00,500.79999999999995,500.79999999999995,500.79999999999995,500.79999999999995
2019-01-11 20:00:00,494.79999999999995,494.79999999999995,494.79999999999995,494.79999999999995
2019-01-11 21:00:00,486.59999999999997,486.59999999999997,486.59999999999997,486.59999999999997
2019-01-11 22:00:00,460.90000000000003,460.90000000000003,460.90000000000003,460.90000000000003
2019-01-11 23:00:00,483.2,483.2,483.2,483.2
2019-01-12 00:00:00,469.3,469.3,469.3,469.3
2019-01-12 01:00:00,456.3,456.3,456.3,456.3
2019-01-12 02:00:00,438.8,438.8,438.8,438.8
2019-01-12 03:00:00,429.90000000000003,429.90000000000003,429.90000000000003,429.90000000000003
2019-01-12 04:00:00,429.6,429.6,429.6,429.6
2019-01-12 05:00:00,450.7,450.7,450.7,450.7
2019-01-12 06:00:00,474.5,474.5,474.5,474.5
2019-01-12 07:00:00,491.2,491.2,491.2,491.2
2019-01-12 08:00:00,510.5,510.5,510.5,510.5
2019-01-12 09:00:00,514.5,514.5,514.5,514.5
2019-01-12 10:00:00,514.7,514.7,514.7,514.7
2019-01-12 11:00:00,514.7,514.7,514.7,514.7
2019-01-12 12:00:00,511.0,511.0,511.0,511.0
2019-01-12 13:00:00,512.4,512.4,512.4,512.4
2019-01-12 14:00:00,519.8,519.8,519.8,519.8
2019-01-12 15:00:00,528.8000000000001,528.8000000000001,528.8000000000001,528.8000000000001
2019-01-12 16:00:00,541.7,541.7,541.7,541.7
2019-01-12 17:00:00,535.3,535.3,535.3,535.3
2019-01-12 18:00:00,524.0,524.0,524.0,524.0
2019-01-12 19:00:00,511.70000000000005,511.70000000000005,511.70000000000005,511.70000000000005
2019-01-12 20:00:00,503.6,503.6,503.6,503.6
2019-01-12 21:00:00,494.0,494.0,494.0,494.0
2019-01-12 22:00:00,483.0,483.0,483.0,483.0
2019-01-12 23:00:00,503.2,503.2,503.2,503.2
2019-01-13 00:00:00,494.6,494.6,494.6,494.6
2019-01-13 01:00:00,493.40000000000003,493.40000000000003,493.40000000000003,493.40000000000003
2019-01-13 02:00:00,493.0,493.0,493.0,493.0
2019-01-13 03:00:00,487.59999999999997,487.59999999999997,487.59999999999997,487.59999999999997
2019-01-13 04:00:00,485.90000000000003,485.90000000000003,485.90000000000003,485.90000000000003
2019-01-13 05:00:00,486.8,486.8,486.8,486.8
2019-01-13 06:00:00,487.9,487.9,487.9,487.9
2019-01-13 07:00:00,492.70000000000005,492.70000000000005,492.70000000000005,492.70000000000005
2019-01-13 08:00:00,500.79999999999995,500.79999999999995,500.79999999999995,500.79999999999995
2019-01-13 09:00:00,507.8,507.8,507.8,507.8
2019-01-13 10:00:00,511.70000000000005,511.70000000000005,511.70000000000005,511.70000000000005
2019-01-13 11:00:00,511.9,511.9,511.9,511.9
2019-01-13 12:00:00,506.70000000000005,506.70000000000005,506.70000000000005,506.70000000000005
2019-01-13 13:00:00,500.20000000000005,500.20000000000005,500.20000000000005,500.20000000000005
2019-01-13 14:00:00,505.20000000000005,505.20000000000005,505.20000000000005,505.20000000000005
2019-01-13 15:00:00,515.0,515.0,515.0,515.0
2019-01-13 16:00:00,516.1999999999999,516.1999999999999,516.1999999999999,516.1999999999999
2019-01-13 17:00:00,508.9,508.9,508.9,508.9
2019-01-13 18:00:00,499.20000000000005,499.20000000000005,499.20000000000005,499.20000000000005
2019-01-13 19:00:00,485.6,485.6,485.6,485.6
2019-01-13 20:00:00,470.3,470.3,470.3,470.3
2019-01-13 21:00:00,447.2,447.2,447.2,447.2
2019-01-13 22:00:00,402.70000000000005,402.70000000000005,402.70000000000005,402.70000000000005
2019-01-13 23:00:00,284.9,284.9,284.9,284.9
2019-01-14 00:00:00,212.5,212.5,212.5,212.5
2019-01-14 01:00:00,169.8,169.8,169.8,169.8
2019-01-14 02:00:00,233.5,233.5,233.5,233.5
2019-01-14 03:00:00,363.9,363.9,363.9,363.9
2019-01-14 04:00:00,458.40000000000003,458.40000000000003,458.40000000000003,458.40000000000003
2019-01-14 05:00:00,493.5,493.5,493.5,493.5
2019-01-14 06:00:00,525.8,525.8,525.8,525.8
2019-01-14 07:00:00,530.3,530.3,530.3,530.3
2019-01-14 08:00:00,520.2,520.2,520.2,520.2
2019-01-14 09:00:00,519.4,519.4,519.4,519.4
2019-01-14 10:00:00,516.0,516.0,516.0,516.0
2019-01-14 11:00:00,512.1,512.1,512.1,512.1
2019-01-14 12:00:00,512.4,512.4,512.4,512.4
2019-01-14 13:00:00,513.6999999999999,513.6999999999999,513.6999999999999,513.6999999999999
2019-01-14 14:00:00,515.1,515.1,515.1,515.1
2019-01-14 15:00:00,522.8,522.8,522.8,522.8
2019-01-14 16:00:00,526.1,526.1,526.1,526.1
2019-01-14 17:00:00,522.8,522.8,522.8,522.8
2019-01-14 18:00:00,518.6,518.6,518.6,518.6
2019-01-14 19:00:00,509.3,509.3,509.3,509.3
2019-01-14 20:00:00,472.2,472.2,472.2,472.2
2019-01-14 21:00:00,455.79999999999995,455.79999999999995,455.79999999999995,455.79999999999995
2019-01-14 22:00:00,406.0,406.0,406.0,406.0
2019-01-14 23:00:00,386.1,386.1,386.1,386.1
2019-01-15 00:00:00,376.2,376.2,376.2,376.2
2019-01-15 01:00:00,379.90000000000003,379.90000000000003,379.90000000000003,379.90000000000003
2019-01-15 02:00:00,416.59999999999997,416.59999999999997,416.59999999999997,416.59999999999997
2019-01-15 03:00:00,454.20000000000005,454.20000000000005,454.20000000000005,454.20000000000005
2019-01-15 04:00:00,496.70000000000005,496.70000000000005,496.70000000000005,496.70000000000005
2019-01-15 05:00:00,521.8,521.8,521.8,521.8
2019-01-15 06:00:00,550.7,550.7,550.7,550.7
2019-01-15 07:00:00,572.6,572.6,584.4,584.4
2019-01-15 08:00:00,582.1,582.1,598.4000000000001,598.4000000000001
2019-01-15 09:00:00,579.5,579.5,579.5,579.5
2019-01-15 10:00:00,563.6999999999999,563.6999999999999,563.6999999999999,563.6999999999999
2019-01-15 11:00:00,552.7,552.7,552.7,552.7
2019-01-15 12:00:00,546.4,546.4,546.4,546.4
2019-01-15 13:00:00,539.4,539.4,539.4,539.4
2019-01-15 14:00:00,539.4,539.4,539.4,539.4
2019-01-15 15:00:00,552.6,552.6,552.6,552.6
2019-01-15 16:00:00,558.6,558.6,558.6,558.6
2019-01-15 17:00:00,556.3000000000001,556.3000000000001,556.3000000000001,556.3000000000001
2019-01-15 18:00:00,546.5,546.5,546.5,546.5
2019-01-15 19:00:00,538.1,538.1,538.1,538.1
2019-01-15 20:00:00,529.4,529.4,529.4,529.4
2019-01-15 21:00:00,516.5999999999999,516.5999999999999,516.5999999999999,516.5999999999999
2019-01-15 22:00:00,498.8,498.8,498.8,498.8
2019-01-15 23:00:00,506.5,506.5,506.5,506.5
2019-01-16 00:00:00,501.70000000000005,501.70000000000005,501.70000000000005,501.70000000000005
2019-01-16 01:00:00,500.7,500.7,500.7,500.7
2019-01-16 02:00:00,502.2,502.2,502.2,502.2
2019-01-16 03:00:00,502.8,502.8,502.8,502.8
2019-01-16 04:00:00,522.7,522.7,522.7,522.7
2019-01-16 05:00:00,540.7,540.7,540.7,540.7
2019-01-16 06:00:00,580.1,580.1,580.1,580.1
2019-01-16 07:00:00,608.2,608.2,608.2,608.2
2019-01-16 08:00:00,577.1,577.1,577.1,577.1
2019-01-16 09:00:00,568.8000000000001,568.8000000000001,568.8000000000001,568.8000000000001
2019-01-16 10:00:00,562.2,562.2,562.2,562.2
2019-01-16 11:00:00,554.3,554.3,554.3,554.3
2019-01-16 12:00:00,544.2,544.2,544.2,544.2
2019-01-16 13:00:00,548.2,548.2,548.2,548.2
2019-01-16 14:00:00,549.9,549.9,549.9,549.9
2019-01-16 15:00:00,561.3000000000001,561.3000000000001,561.3000000000001,561.3000000000001
2019-01-16 16:00:00,552.9,552.9,552.9,552.9
2019-01-16 17:00:00,539.2,539.2,539.2,539.2
2019-01-16 18:00:00,534.0,534.0,534.0,534.0
2019-01-16 19:00:00,525.7,525.7,525.7,525.7
2019-01-16 20:00:00,512.8,512.8,512.8,512.8
2019-01-16 21:00:00,475.0,475.0,475.0,475.0
2019-01-16 22:00:00,442.29999999999995,442.29999999999995,442.29999999999995,442.29999999999995
2019-01-16 23:00:00,473.0,473.0,473.0,473.0
2019-01-17 00:00:00,450.79999999999995,450.79999999999995,450.79999999999995,450.79999999999995
2019-01-17 01:00:00,449.3,449.3,449.3,449.3
2019-01-17 02:00:00,451.0,451.0,451.0,451.0
2019-01-17 03:00:00,493.8,493.8,493.8,493.8
2019-01-17 04:00:00,514.8,514.8,514.8,514.8
2019-01-17 05:00:00,539.8,539.8,539.8,539.8
2019-01-17 06:00:00,552.0,552.0,552.0,552.0
2019-01-17 07:00:00,557.0,557.0,557.0,557.0
2019-01-17 08:00:00,560.2,560.2,560.2,560.2
2019-01-17 09:00:00,560.8,560.8,560.8,560.8
2019-01-17 10:00:00,559.0,559.0,559.0,559.0
2019-01-17 11:00:00,557.0,557.0,557.0,557.0
2019-01-17 12:00:00,557.5,557.5,557.5,557.5
2019-01-17 13:00:00,562.9,562.9,562.9,562.9
2019-01-17 14:00:00,572.1,572.1,572.1,572.1
2019-01-17 15:00:00,563.8000000000001,563.8000000000001,587.8,587.8
2019-01-17 16:00:00,559.8,559.8,601.0,601.0
2019-01-17 17:00:00,557.7,557.7,563.5,563.5
2019-01-17 18:00:00,551.1,551.1,551.1,551.1
2019-01-17 19:00:00,542.9,542.9,542.9,542.9
2019-01-17 20:00:00,539.8,539.8,539.8,539.8
2019-01-17 21:00:00,523.9,523.9,523.9,523.9
2019-01-17 22:00:00,512.0,512.0,512.0,512.0
2019-01-17 23:00:00,526.1,526.1,526.1,526.1
2019-01-18 00:00:00,519.0,519.0,519.0,519.0
2019-01-18 01:00:00,515.4,515.4,515.4,515.4
2019-01-18 02:00:00,515.7,515.7,515.7,515.7
2019-01-18 03:00:00,520.9000000000001,520.9000000000001,520.9000000000001,520.9000000000001
2019-01-18 04:00:00,545.3,545.3,545.3,545.3
2019-01-18 05:00:00,575.3,575.3,575.3,575.3
2019-01-18 06:00:00,564.0,564.0,727.6,733.5
2019-01-18 07:00:00,564.4,564.4,771.5,771.5
2019-01-18 08:00:00,568.4000000000001,568.4000000000001,761.7,761.7
2019-01-18 09:00:00,568.6999999999999,568.6999999999999,725.1,725.1
